Documentation automatically generated from Valheim 0.221.6,,
"_eventzone_boss_base", -40120423, "ZNetView, TimedDestruction, EventZone"
"_TerrainCompiler", -367065113, "ZNetView, TerrainComp"
"_ZoneCtrl", 1703108136, "SpawnSystem, ZNetView"
"Abomination", 2095123679, "Humanoid, ZNetView, ZSyncTransform, ZSyncAnimation, MonsterAI, CharacterDrop, VisEquipment, FootStep"
"Abomination_attack1 (Swing attack) (Swing attack)", 1382552281, "ZSyncTransform, ZNetView, ItemDrop"
"Abomination_attack2 (Slam attack) (Slam attack)", 1382552278, "ZSyncTransform, ZNetView, ItemDrop"
"Abomination_attack3 (Stub to the ground) (Stub to the ground)", 1382552279, "ZSyncTransform, ZNetView, ItemDrop"
"Abomination_ragdoll", -1559908641, "ZNetView, Ragdoll"
"Acorn ($item_oakseeds) (Acorns)", -2047937207, "ZNetView, ZSyncTransform, ItemDrop"
"Amber ($item_amber) (Amber)", -1570747403, "ZNetView, ZSyncTransform, ItemDrop"
"AmberPearl ($item_amberpearl) (Amber Pearl)", -1844493069, "ZNetView, ZSyncTransform, ItemDrop"
"ancient_skull", 81702400, "ZNetView, LodFadeInOut, Destructible"
"ancientbarkspear_projectile", -588675353, "Projectile, ZNetView, ZSyncTransform"
"AncientSeed ($item_ancientseed) (Ancient Seed)", -500516295, "ZNetView, ZSyncTransform, ItemDrop"
"aoe_nova", 391153472, "ZNetView, Aoe"
"arbalest_projectile_blackmetal", 1310585661, "Projectile, ZNetView, ZSyncTransform"
"arbalest_projectile_bone", 1463749101, "Projectile, ZNetView, ZSyncTransform"
"arbalest_projectile_carapace", 2053765929, "Projectile, ZNetView, ZSyncTransform"
"arbalest_projectile_charred", -965947298, "Projectile, ZNetView, ZSyncTransform"
"arbalest_projectile_iron", 1477045621, "Projectile, ZNetView, ZSyncTransform"
"ArmorAshlandsMediumChest ($item_chest_medium_ashlands) (Breastplate of Ask)", 1232186885, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorAshlandsMediumlegs ($item_legs_medium_ashlands) (Trousers of Ask)", 2121838973, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorBerserkerChest ($item_chest_berserker) (Patterns of the Bear)", -1016581293, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorBerserkerLegs ($item_legs_berserker) (Loincloth of the Bear)", 542491355, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorBerserkerUndeadChest ($item_chest_berserker_undead) (Vilebone Cage)", -1774732552, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorBerserkerUndeadLegs ($item_legs_berserker_undead) (Vilebone Drapes)", 69446882, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorBronzeChest ($item_chest_bronze) (Bronze Plate Tunic)", -524840022, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorBronzeLegs ($item_legs_bronze) (Bronze Plate Leggings)", -1070975544, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorCarapaceChest ($item_chest_carapace) (Carapace Breastplate)", -1330578868, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorCarapaceLegs ($item_legs_carapace) (Carapace Greaves)", -1276324482, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorDress1 ($item_chest_dress1) (Plain Brown Dress)", 1409301309, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorDress10 ($item_chest_dress10) (Simple Undyed Dress)", 1851887405, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorDress2 ($item_chest_dress2) (Brown Dress with Shawl)", 1409301306, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorDress3 ($item_chest_dress3) (Brown Dress with Beads)", 1409301307, "ZNetView, ZSyncTransform, ItemDrop"
"ArmorDress4 ($item_chest_dress4) (Plain Blue Dress)", 1409301312, "ZNetView, ZSyncTransform, ItemDrop"
